Artist Name,Sex,Region,Primary Language,Collapsed Genre,Artist Type,Debut Year,Total Streams (in millions),Lead Streams (in millions),Feature Streams (in millions),Solo Streams (in millions),% of Solo Streams,Collaborative Streams (in millions),% of Collaborative Streams
Drake,Male,Canada,English,Hip-Hop & R&B,Solo,2006,137492.1,94851.1,42640.9,53323.9,38.78324646,84168.2,61.21675354
Taylor Swift,Female,United States,English,Pop & Electronic,Solo,2006,127861.0,126177.3,1683.8,113421.5,88.706877,14439.5,11.293123
Bad Bunny,Male,United States,Spanish,Latin & Regional,Solo,2013,125899.8,82189.3,43710.5,48887.0,38.83008551,77012.8,61.16991449
The Weeknd,Male,Canada,English,Hip-Hop & R&B,Solo,2009,95703.2,77189.4,18513.8,51020.0,53.3106521,44683.2,46.6893479
Justin Bieber,Male,Canada,English,Pop & Electronic,Solo,2009,78104.4,48316.2,29788.2,29638.3,37.94702987,48466.1,62.05297013
Ariana Grande,Female,United States,English,Pop & Electronic,Solo,2013,68298.9,57097.5,11201.4,41615.5,60.93143521,26683.4,39.06856479
Travis Scott,Male,United States,English,Hip-Hop & R&B,Solo,2013,65349.7,35338.7,30027.0,25309.9,38.72994061,40039.8,61.27005939
Kanye West,Male,United States,English,Hip-Hop & R&B,Solo,2004,65142.9,46558.4,18584.5,28473.0,43.70852388,36669.9,56.29147612
Ed Sheeran,Male,United Kingdom,English,Pop & Electronic,Solo,2011,64656.9,57704.0,6967.8,46700.0,72.22740342,17956.9,27.77259658
Eminem,Male,United States,English,Hip-Hop & R&B,Solo,1996,64549.0,54466.8,10100.7,32940.0,51.03099971,31609.0,48.96900029
Rihanna,Female,Barbados,English,Pop & Electronic,Solo,2005,60670.7,44824.4,15846.4,30261.8,49.8787718,30408.9,50.1212282
Billie Eilish,Female,United States,English,Pop & Electronic,Solo,2015,58049.5,57160.1,889.4,51567.9,88.83435689,6481.6,11.16564311
Bruno Mars,Male,United States,English,Pop & Electronic,Solo,2010,56727.1,40714.0,16013.1,33618.1,59.26285673,23109.0,40.73714327
Kendrick Lamar,Male,United States,English,Hip-Hop & R&B,Solo,2009,56459.5,40752.2,15725.0,23403.5,41.45183716,33056.0,58.54816284
Post Malone,Male,United States,English,Pop & Electronic,Solo,2011,55028.3,48805.6,6235.6,25419.4,46.19332235,29608.9,53.80667765
J Balvin,Male,Colombia,Spanish,Latin & Regional,Solo,2004,54649.2,25333.3,29334.0,7844.5,14.35428149,46804.7,85.64571851
Future,Male,United States,English,Hip-Hop & R&B,Solo,2010,53951.5,27879.0,26072.5,12647.5,23.442351,41304.0,76.557649
BTS,Male,South Korea,Korean,Pop & Electronic,Group,2013,53308.9,47969.9,5339.0,44114.4,82.75241095,9194.5,17.24758905
Ozuna,Male,United States,Spanish,Latin & Regional,Solo,2012,47649.2,20247.1,27418.9,8621.1,18.09285361,39028.1,81.90714639
Coldplay,Male,United Kingdom,English,Rock & Alternative,Group,1999,46720.4,42837.1,3901.3,38535.2,82.48045822,8185.2,17.51954178
Juice WRLD,Male,United States,English,Hip-Hop & R&B,Solo,2015,46276.4,34132.1,12155.1,26675.7,57.64428521,19600.7,42.35571479
Chris Brown,Male,United States,English,Hip-Hop & R&B,Solo,2005,43963.8,24455.7,19523.9,12219.3,27.79400325,31744.5,72.20599675
Nicki Minaj,Female,Trinidad and Tobago,English,Hip-Hop & R&B,Solo,2007,43330.3,16316.4,27027.9,9618.2,22.19739997,33712.1,77.80260003
Lana Del Rey,Female,United States,English,Rock & Alternative,Solo,2010,42464.1,38477.3,3986.8,34578.4,81.42972534,7885.7,18.57027466
David Guetta,Male,France,English,Pop & Electronic,Solo,1990,42059.5,30750.8,11325.3,406.8,0.9672012268,41652.7,99.03279877
Dua Lipa,Female,United Kingdom,English,Pop & Electronic,Solo,2015,41944.1,28269.7,13687.6,23133.7,55.15364497,18810.4,44.84635503
Daddy Yankee,Male,United States,Spanish,Latin & Regional,Solo,1991,41405.4,19772.1,21650.0,10692.8,25.82465089,30712.6,74.17534911
Rauw Alejandro,Male,United States,Spanish,Latin & Regional,Solo,2014,40738.6,24898.0,15857.7,10432.5,25.60839106,30306.1,74.39160894
Anuel AA,Male,United States,Spanish,Latin & Regional,Solo,2011,40453.3,18355.6,22118.9,6177.0,15.26945886,34276.3,84.73054114
XXXTENTACION,Male,United States,English,Hip-Hop & R&B,Solo,2013,40411.3,34419.9,5998.9,28138.4,69.63002922,12272.9,30.36997078
Imagine Dragons,Male,United States,English,Rock & Alternative,Group,2012,40279.5,38006.7,2283.2,33880.4,84.11325861,6399.1,15.88674139
Lil Wayne,Male,United States,English,Hip-Hop & R&B,Solo,1997,40148.2,15870.4,24279.9,4050.9,10.08986704,36097.3,89.91013296
21 Savage,Male,United Kingdom,English,Hip-Hop & R&B,Solo,2014,39024.3,15878.0,23155.6,7883.1,20.20049046,31141.2,79.79950954
SZA,Female,United States,English,Hip-Hop & R&B,Solo,2012,38879.6,25267.5,13627.2,19804.6,50.93828126,19075.0,49.06171874
Arijit Singh,Male,India,Hindi,Media & Soundtrack,Solo,2011,37687.8,13330.4,24384.8,4537.4,12.03943982,33150.4,87.96056018
Lady Gaga,Female,United States,English,Pop & Electronic,Solo,2008,37565.4,37009.7,572.0,23546.2,62.68055178,14019.2,37.31944822
KAROL G,Female,Colombia,Spanish,Latin & Regional,Solo,2007,37549.7,29603.8,7961.5,14790.4,39.38886329,22759.3,60.61113671
Lil Baby,Male,United States,English,Hip-Hop & R&B,Solo,2017,35931.9,18773.5,17171.5,8928.8,24.84922868,27003.1,75.15077132
